,country_eng_nm,cnt,export_amount,import_amount
0,Japan,578,751500000000.0,902600000000.0
1,Vietnam,212,360300000000.0,351900000000.0
2,China,169,,
3,Singapore,158,516000000000.0,475800000000.0
4,Malaysia,134,352300000000.0,295300000000.0
5,Canada,124,390100000000.0,428500000000.0
49,Latvia,1,20900000000.0,24300000000.0
50,Colombia,1,57100000000.0,76900000000.0
51,Romania,1,128150000000.0,148950000000.0
52,Turkmenistan,1,8699000000.0,3933000000.0
53,Timor-Leste,1,322000000.0,1427000000.0
