,country_eng_nm,cnt,gdp
0,Japan,578,4231100000000
1,Vietnam,212,406450000000
2,China,169,17963200000000
3,Singapore,158,466800000000
4,Malaysia,134,407900000000
49,Latvia,1,39800000000
50,Colombia,1,343900000000
51,Romania,1,299900000000
52,Turkmenistan,1,99400000000
53,Timor-Leste,1,3700000000
