,country_eng_nm,cnt,inflation_rate
0,Japan,578,2.5
1,Vietnam,212,3.19
2,China,169,3.0
3,Singapore,158,6.1
4,Malaysia,134,3.4
49,Latvia,1,
50,Colombia,1,10.0
51,Romania,1,13.8
52,Turkmenistan,1,
53,Timor-Leste,1,7.0
54,Madagascar,1,
55,Nigeria,1,
56,El Salvador,1,7.0
57,Maldives,1,
58,Kenya,1,
59,Morocco,1,
60,Ecuador,1,
61,Brunei,1,1.7
62,Senegal,1,
