,country_eng_nm,cnt,gdp_per_capita
0,Japan,578,33815
1,Vietnam,212,4087
2,China,169,12720
3,Singapore,158,82808
4,Malaysia,134,12634
49,Latvia,1,21148
50,Colombia,1,6664
51,Romania,1,15619
52,Turkmenistan,1,10310
53,Timor-Leste,1,2672
