,country_eng_nm,cnt,unemployment_rate
0,Japan,578,2.6
1,Vietnam,212,2.3
2,China,169,5.6
3,Singapore,158,2.1
4,Malaysia,134,3.8
49,Latvia,1,6.9
50,Colombia,1,11.0
51,Romania,1,5.6
52,Turkmenistan,1,
53,Timor-Leste,1,
54,Madagascar,1,
55,Nigeria,1,
56,El Salvador,1,
57,Maldives,1,
58,Kenya,1,
59,Morocco,1,
60,Ecuador,1,4.4
61,Brunei,1,6.8
62,Senegal,1,
