,country_eng_nm,cnt,gdp_growth_rate
0,Japan,578,1.0
1,Vietnam,212,
2,China,169,3.0
3,Singapore,158,3.6
4,Malaysia,134,8.7
5,Canada,124,
6,Germany,117,1.9
49,Latvia,1,4.1
50,Colombia,1,7.5
51,Romania,1,4.8
52,Turkmenistan,1,3.5
53,Timor-Leste,1,3.3
